oid,TableID,ParentTableID,ChildTableID,Name,UserName,ParentTableName,ParentTableUserName,ChildTableName,ChildTableUsername,Description,Namespace,DateCreated,DateModified,IsDeleted,Author
47957832-2c30-476e-936a-87cefb3df46e,47957832-2c30-476e-936a-87cefb3df46e,00000000-0000-0000-0000-000000000000,,SMTemplateProcessProfileSide,,,,,,,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,False,INGRNET\sp3dadminuser1
4ed998da-0e4f-4177-b551-87ef626af1a9,4ed998da-0e4f-4177-b551-87ef626af1a9,00000000-0000-0000-0000-000000000000,,EdgeFromCurveOrSurf_Errors,,,,,,,UDP,Aug 25 2011 10:23PM,Aug 25 2011 10:23PM,False,INGRNET\sp3dadminuser1
4c77197d-6d8a-4aa6-b3c5-87fea23cbb7f,4c77197d-6d8a-4aa6-b3c5-87fea23cbb7f,00000000-0000-0000-0000-000000000000,,Type,,,,,,,REFDAT,,,False,
073a74fe-fcf6-4106-a11d-88a04ab6c60f,073a74fe-fcf6-4106-a11d-88a04ab6c60f,00000000-0000-0000-0000-000000000000,,SMMemberMarkingMbr2MbrPenFit,,,,,,,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,False,INGRNET\sp3dadminuser1
0cf5bdcc-fb70-4b76-afb4-88c5c94845a7,0cf5bdcc-fb70-4b76-afb4-88c5c94845a7,00000000-0000-0000-0000-000000000000,,KnuckledPlane_Errors,,,,,,,UDP,Nov  5 2013  8:18PM,Nov  5 2013  8:18PM,False,INGRNET\sp3dadminuser1
8941980c-b5b0-461c-b208-88d8a04316f4,8941980c-b5b0-461c-b208-88d8a04316f4,00000000-0000-0000-0000-000000000000,,ShipDesignLoadingConditionType,,,,,,,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,False,INGRNET\sp3dadminuser1
9208e254-a3f3-4db8-af8e-890044519bfb,9208e254-a3f3-4db8-af8e-890044519bfb,00000000-0000-0000-0000-000000000000,7fd9a544-0659-4eeb-8647-04c019ef7802,ShortCodeHierarchyClass,,,,ShortCodeHierarchyType,,,REFDAT,,,False,
fd4f2116-dc65-4f52-ab59-89161814079a,fd4f2116-dc65-4f52-ab59-89161814079a,00000000-0000-0000-0000-000000000000,,SMTemplateProcessPlateUsrDefVal,,,,,,,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,False,INGRNET\sp3dadminuser1
aa414b3f-0cd5-4c8b-8b3d-89163b76a7b1,aa414b3f-0cd5-4c8b-8b3d-89163b76a7b1,00000000-0000-0000-0000-000000000000,,GenericPart_Type,,,,,,,STRUCT,,,False,
3732b479-dc18-46c5-a9d7-8937c537d88d,3732b479-dc18-46c5-a9d7-8937c537d88d,00000000-0000-0000-0000-000000000000,,LineAtAngle_TrackFlagVal,,,,,,,UDP,Dec 18 2008  3:46PM,Dec 18 2008  3:46PM,False,INGRNET\SP3DTEST
